absolute_magnitude_h,estimated_diameter_min_km,estimated_diameter_max_km,is_potentially_hazardous_asteroid,is_sentry_object,epoch_date_close_approach,relative_velocity_km_per_sec,miss_distance_kilometers
20.16,0.2469192656,0.5521282628,True,False,1736208480000,16.5489944128,18491516.10423837
18.54,0.5206609142,1.1642331974,False,False,1736238240000,15.2767515283,12136326.303555183
21.58,0.1283970296,0.2871044863,False,False,1736238060000,21.6488761177,58239736.59965244
22.29,0.0925880583,0.2070331923,False,False,1736236080000,8.9892906844,9414482.23419549
20.91,0.1748054532,0.3908768761,True,False,1736290080000,19.1336306591,73466998.5175389
26.6,0.0127219879,0.0284472297,False,False,1736272800000,7.6348283529,43675472.56004904
25.5,0.0211132445,0.0472106499,False,False,1736258580000,4.9143049327,10536583.499046208
25.6,0.0201629919,0.0450858206,False,False,1736269080000,24.2782093228,72072116.41250834
27.4,0.0088014652,0.0196806745,False,True,1736212200000,9.5250407801,49392413.8942228
26.66,0.0123752784,0.0276719637,False,False,1736266020000,14.959320276,44602775.42223265
22.59,0.0806408277,0.1803183724,False,False,1736258820000,22.5309669915,13072072.230165008
21.73,0.1198270801,0.2679414966,False,False,1736268540000,27.6437185619,19239009.47746017
25.17,0.0245784775,0.0549591464,False,False,1736247480000,8.5400305616,3623223.789841424
23.6,0.0506471459,0.1132504611,False,False,1736276100000,13.6327134848,14880072.12939393
23.27,0.0589596608,0.1318378096,False,False,1736267460000,10.5638473191,14064893.080212332
23.4,0.0555334912,0.1241766613,False,False,1736133840000,6.0620992868,52820770.79549223
23.2,0.0608912622,0.1361570015,False,False,1736187360000,5.35362664,66024505.62198273
26.2,0.0152951935,0.0342010925,False,False,1736159460000,14.8116606962,67762561.05205293
27.6,0.0080270317,0.0179489885,False,False,1736180280000,18.2049798985,52117749.56290849
26.8,0.0116025908,0.0259441818,False,False,1736185320000,15.7678897551,35406461.06684568
23.14,0.06259721,0.1399716167,False,False,1736197860000,7.9607072171,24683064.19080021
24.98,0.0268259417,0.0599846292,False,False,1736158860000,19.8684089759,48896961.18728298
23.05,0.065246163,0.1458948557,False,False,1736197140000,7.2465399874,23945440.731528886
25.08,0.0256185754,0.0572848762,False,False,1736179260000,12.2596614281,2156544.131876664
26.87,0.0112345318,0.0251211767,False,False,1736138700000,5.2272161774,5560416.813516596
24.51,0.0333084924,0.0744800533,False,False,1736161260000,17.1033847508,4950988.227064801
21.2,0.1529519353,0.3420109247,True,False,1736073960000,25.9398250191,71450808.49855644
26.5,0.0133215567,0.0297879063,False,True,1736063100000,15.3644012418,63031190.87562886
20.85,0.1797028549,0.4018277992,True,False,1736113440000,22.182959458,3683381.686023033
25.1,0.0253837029,0.0567596853,False,False,1736042400000,17.1434128424,47817840.01879432
24.45,0.0342416731,0.0765667087,False,False,1736081460000,22.9134713332,71002234.961983
25.58,0.0203495578,0.0455029946,False,False,1736045100000,7.7322038379,72030480.99156056
26.49,0.0133830462,0.029925401,False,False,1736038740000,7.0691275737,4148544.30991822
28.31,0.0057883526,0.0129431498,False,False,1736089740000,7.4557831385,2096621.912179453
23.53,0.0523064176,0.1169607054,False,False,1736075460000,11.2885158668,23538786.747137703
23.18,0.0614546821,0.1374168468,False,False,1736100180000,16.7177568867,13787514.424296966
24.68,0.0308003021,0.0688715693,False,False,1736080980000,9.1290174796,6758138.904065095
